Date,Word,% Monitored Articles
4/20/22,military exercise,0.0306
4/21/22,military exercise,0.031
4/22/22,military exercise,0.0445
4/23/22,military exercise,0.0234
4/24/22,military exercise,0.0405
4/25/22,military exercise,0.0366
4/26/22,military exercise,0.0411
4/27/22,military exercise,0.0307
4/28/22,military exercise,0.0519
4/29/22,military exercise,0.1245
4/30/22,military exercise,0.0707
5/1/22,military exercise,0.1753
5/2/22,military exercise,0.087
5/3/22,military exercise,0.0304
5/4/22,military exercise,0.1648
5/5/22,military exercise,0.2735
5/6/22,military exercise,0.0791
5/7/22,military exercise,0.0485
5/8/22,military exercise,0.0341
5/9/22,military exercise,0.0342
5/10/22,military exercise,0.0458
5/11/22,military exercise,0.0733
5/12/22,military exercise,0.0783
5/13/22,military exercise,0.0398
5/14/22,military exercise,0.0524
5/15/22,military exercise,0.0627
5/16/22,military exercise,0.0881
5/17/22,military exercise,0.0817
5/18/22,military exercise,0.0554
5/19/22,military exercise,0.055
5/20/22,military exercise,0.1125
5/21/22,military exercise,0.2378
5/22/22,military exercise,0.3612
5/23/22,military exercise,0.0828
5/24/22,military exercise,0.0795
5/25/22,military exercise,0.0649
5/26/22,military exercise,0.0727
5/27/22,military exercise,0.1157
5/28/22,military exercise,0.0797
5/29/22,military exercise,0.0625
5/30/22,military exercise,0.0568
5/31/22,military exercise,0.0541
6/1/22,military exercise,0.0618
6/2/22,military exercise,0.0579
6/3/22,military exercise,0.0573
6/4/22,military exercise,0.062
6/5/22,military exercise,0.1663
6/6/22,military exercise,0.1785
6/7/22,military exercise,0.1148
6/8/22,military exercise,0.0509
6/9/22,military exercise,0.081
6/10/22,military exercise,0.053
6/11/22,military exercise,0.1182
6/12/22,military exercise,0.0936
6/13/22,military exercise,0.0417
6/14/22,military exercise,0.0438
6/15/22,military exercise,0.0374
6/16/22,military exercise,0.0263
6/17/22,military exercise,0.0382
6/18/22,military exercise,0.0619
6/19/22,military exercise,0.034
6/20/22,military exercise,0.0429
6/21/22,military exercise,0.0463
6/22/22,military exercise,0.0702
6/23/22,military exercise,0.0539
6/24/22,military exercise,0.0444
6/25/22,military exercise,0.0368
6/26/22,military exercise,0.0453
6/27/22,military exercise,0.0353
6/28/22,military exercise,0.0381
6/29/22,military exercise,0.0351
6/30/22,military exercise,0.0436
7/1/22,military exercise,0.0404
7/2/22,military exercise,0.0402
7/3/22,military exercise,0.1379
7/4/22,military exercise,0.0405
7/5/22,military exercise,0.038
7/6/22,military exercise,0.0352
7/7/22,military exercise,0.0296
7/8/22,military exercise,0.0355
7/9/22,military exercise,0.0427
7/10/22,military exercise,0.0353
7/11/22,military exercise,0.022
7/12/22,military exercise,0.0267
7/13/22,military exercise,0.0183
7/14/22,military exercise,0.0258
7/15/22,military exercise,0.0249
7/16/22,military exercise,0.0261
7/17/22,military exercise,0.0234
7/18/22,military exercise,0.0121
7/19/22,military exercise,0.0157
7/20/22,military exercise,0.0135
7/21/22,military exercise,0.0272
7/22/22,military exercise,0.028
7/23/22,military exercise,0.0287
7/24/22,military exercise,0.0192
7/25/22,military exercise,0.045
7/26/22,military exercise,0.0642
7/27/22,military exercise,0.0577
7/28/22,military exercise,0.0457
7/29/22,military exercise,0.0422
7/30/22,military exercise,0.0674
7/31/22,military exercise,0.0557
8/1/22,military exercise,0.0529
8/2/22,military exercise,0.1098
8/3/22,military exercise,0.2829
8/4/22,military exercise,0.2566
8/5/22,military exercise,0.4086
8/6/22,military exercise,0.3493
8/7/22,military exercise,0.1686
8/8/22,military exercise,0.2172
8/9/22,military exercise,0.1156
8/10/22,military exercise,0.0952
8/11/22,military exercise,0.1666
8/12/22,military exercise,0.1198
8/13/22,military exercise,0.1158
8/14/22,military exercise,0.0991
8/15/22,military exercise,0.1541
8/16/22,military exercise,0.1871
8/17/22,military exercise,0.1264
8/18/22,military exercise,0.1268
8/19/22,military exercise,0.0951
8/20/22,military exercise,0.0757
8/21/22,military exercise,0.0965
8/22/22,military exercise,0.1273
8/23/22,military exercise,0.0471
8/24/22,military exercise,0.049
8/25/22,military exercise,0.0652
8/26/22,military exercise,0.0986
8/27/22,military exercise,0.049
8/28/22,military exercise,0.1154
8/29/22,military exercise,0.107
8/30/22,military exercise,0.0868
8/31/22,military exercise,0.1478
9/1/22,military exercise,0.1373
9/2/22,military exercise,0.0989
9/3/22,military exercise,0.0751
9/4/22,military exercise,0.0829
9/5/22,military exercise,0.112
9/6/22,military exercise,0.1828
9/7/22,military exercise,0.1021
9/8/22,military exercise,0.0824
9/9/22,military exercise,0.1036
9/10/22,military exercise,0.0657
9/11/22,military exercise,0.035
9/12/22,military exercise,0.038
9/13/22,military exercise,0.0488
9/14/22,military exercise,0.0455
9/15/22,military exercise,0.0686
9/16/22,military exercise,0.0527
9/17/22,military exercise,0.0459
9/18/22,military exercise,0.024
9/19/22,military exercise,0.0407
9/20/22,military exercise,0.0438
9/21/22,military exercise,0.0381
9/22/22,military exercise,0.0327
9/23/22,military exercise,0.0956
9/24/22,military exercise,0.0477
9/25/22,military exercise,0.1565
9/26/22,military exercise,0.053
9/27/22,military exercise,0.0449
